"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008608","GO:0008608","attachment of spindle microtubules to kinetochore","14/320","39/18481",1.67553149436925e-15,5.12255674142162e-13,4.72676253148378e-13,"Racgap1/Ccnb1/Ndc80/Nuf2/Spag5/Aurkb/Cenpe/Kif2c/Nek2/Knstrn/Spc25/Sgo1/Cdt1/Spc24",14
"GO:0051310","GO:0051310","metaphase chromosome alignment","18/320","88/18481",9.82596960589718e-15,2.75372798205269e-12,2.54096126299868e-12,"Kifc1/Racgap1/Ccnb1/Ndc80/Nuf2/Incenp/Kif22/Spag5/Aurkb/Cenpe/Kif2c/Nek2/Knstrn/Spc25/Fam83d/Sgo1/Cdt1/Spc24",18
"GO:0051303","GO:0051303","establishment of chromosome localization","19/320","104/18481",1.5805670806877e-14,4.08880545565596e-12,3.77288401122862e-12,"Kifc1/Racgap1/Ccnb1/Ndc80/Nuf2/Incenp/Kif22/Spag5/Aurkb/Cenpe/Kif2c/Nek2/Knstrn/Spc25/Fam83d/Sgo1/Cdt1/Birc5/Spc24",19
"GO:0050000","GO:0050000","chromosome localization","19/320","111/18481",5.49290004520034e-14,1.31947306085777e-11,1.21752401001884e-11,"Kifc1/Racgap1/Ccnb1/Ndc80/Nuf2/Incenp/Kif22/Spag5/Aurkb/Cenpe/Kif2c/Nek2/Knstrn/Spc25/Fam83d/Sgo1/Cdt1/Birc5/Spc24",19
"GO:0051225","GO:0051225","spindle assembly","18/320","122/18481",3.57703249333544e-12,8.01970685005805e-10,7.40006441428271e-10,"Kifc1/Tpx2/Prc1/Plk1/Cdc20/Racgap1/Kif11/Ndc80/Incenp/Kif4a/Spag5/Aurkb/Cenpe/Mybl2/Nek2/Mastl/Aurka/Fbxo5",18
"GO:0051983","GO:0051983","regulation of chromosome segregation","16/320","99/18481",1.38856210744486e-11,2.91858397958566e-09,2.69307966628121e-09,"Plk1/Cdc20/Ccnb1/Tacc3/Ndc80/Ncaph/Aurkb/Cenpe/Kif2c/Ncapd2/Trip13/Cdk1/Chtf18/Ube2c/Birc5/Fbxo5",16
"GO:1903046","GO:1903046","meiotic cell cycle process","23/320","237/18481",2.6180908786114e-11,5.17919977927655e-09,4.77902904653028e-09,"Plk1/Cdc20/Ccnb1/Ndc80/Nuf2/Incenp/Ncaph/Cenpe/Espl1/Ncapd2/Mastl/Trip13/Ankle1/Aurka/Cdk1/Chtf18/Sgo1/Rad51/Pttg1/Birc5/Fbxo5/Rad54b/Eme1",23
"GO:0090068","GO:0090068","positive regulation of cell cycle process","24/320","279/18481",1.20386035405506e-10,2.24921242815953e-08,2.0754270899148e-08,"Cdc20/Racgap1/Rrm2/Ccnb1/Ndc80/Kif20b/Spag5/Ncaph/Aurkb/Cenpe/Ncapd2/Mastl/Nusap1/Aurka/Cdk1/Ube2c/Fam83d/Birc5/Fbxo5/E2f8/Stil/Dtl/Ddx11/Rad51b",24
"GO:0006260","GO:0006260","DNA replication","23/320","267/18481",2.8876780242954e-10,5.11119010300285e-08,4.71627413607913e-08,"Rbbp7/Mcm5/Ccna2/Tk1/Rrm2/Fam111a/Mcm7/Pclaf/Cdk1/Mms22l/Rad51/Cdt1/Mcm10/Gins1/Traip/Recql4/Gmnn/Fbxo5/E2f8/Dscc1/Ddx11/Eme1/Pif1",23
"GO:0051321","GO:0051321","meiotic cell cycle","23/320","274/18481",4.81629083709397e-10,8.09859304257351e-08,7.47285546723843e-08,"Plk1/Cdc20/Ccnb1/Ndc80/Nuf2/Incenp/Ncaph/Cenpe/Espl1/Ncapd2/Mastl/Trip13/Ankle1/Aurka/Cdk1/Chtf18/Sgo1/Rad51/Pttg1/Birc5/Fbxo5/Rad54b/Eme1",23
"GO:0140013","GO:0140013","meiotic nuclear division","20/320","209/18481",6.87087355683605e-10,1.10032132245903e-07,1.01530502483973e-07,"Plk1/Cdc20/Ndc80/Nuf2/Incenp/Ncaph/Cenpe/Espl1/Mastl/Trip13/Ankle1/Aurka/Chtf18/Sgo1/Rad51/Pttg1/Birc5/Fbxo5/Rad54b/Eme1",20
"GO:0045787","GO:0045787","positive regulation of cell cycle","25/320","351/18481",2.56755183651524e-09,3.92485310281852e-07,3.62159943255834e-07,"Cdc20/Racgap1/Rrm2/Ccnb1/Fosl1/Ndc80/Kif20b/Spag5/Ncaph/Aurkb/Cenpe/Ncapd2/Mastl/Nusap1/Aurka/Cdk1/Ube2c/Fam83d/Birc5/Fbxo5/E2f8/Stil/Dtl/Ddx11/Rad51b",25
"GO:0033045","GO:0033045","regulation of sister chromatid segregation","12/320","72/18481",3.58741059303739e-09,5.24541818451511e-07,4.84013108845502e-07,"Plk1/Cdc20/Ccnb1/Tacc3/Ndc80/Aurkb/Cenpe/Trip13/Cdk1/Ube2c/Birc5/Fbxo5",12
"GO:0051304","GO:0051304","chromosome separation","12/320","73/18481",4.22723761874839e-09,5.92341671327118e-07,5.46574407897818e-07,"Plk1/Cdc20/Ccnb1/Ndc80/Ncaph/Cenpe/Espl1/Ncapd2/Trip13/Ube2c/Birc5/Fbxo5",12
"GO:0006261","GO:0006261","DNA-templated DNA replication","16/320","149/18481",6.8914426706164e-09,9.27036868051318e-07,8.55409389177985e-07,"Mcm5/Tk1/Fam111a/Mcm7/Mms22l/Rad51/Cdt1/Mcm10/Gins1/Traip/Recql4/Gmnn/Fbxo5/E2f8/Ddx11/Eme1",16
"GO:0051988","GO:0051988","regulation of attachment of spindle microtubules to kinetochore","7/320","17/18481",7.32547044673609e-09,9.47521427398979e-07,8.74311209594251e-07,"Racgap1/Ccnb1/Spag5/Aurkb/Cenpe/Nek2/Knstrn",7
"GO:0034508","GO:0034508","centromere complex assembly","8/320","26/18481",8.81874358878669e-09,1.09842350700332e-06,1.01355384404457e-06,"Cenpe/Cenpt/Cenpi/Cenph/Cenpa/Cenpw/Hjurp/Cenpp",8
"GO:1905818","GO:1905818","regulation of chromosome separation","11/320","65/18481",1.37569158430512e-08,1.65230385643505e-06,1.52463864305696e-06,"Plk1/Cdc20/Ccnb1/Ndc80/Ncaph/Cenpe/Ncapd2/Trip13/Ube2c/Birc5/Fbxo5",11
"GO:0090307","GO:0090307","mitotic spindle assembly","11/320","67/18481",1.91519980029406e-08,2.15162592988914e-06,1.98538060982931e-06,"Kifc1/Tpx2/Prc1/Plk1/Cdc20/Racgap1/Kif11/Kif4a/Aurkb/Mybl2/Nek2",11
"GO:0061982","GO:0061982","meiosis I cell cycle process","15/320","139/18481",1.91938084735873e-08,2.15162592988914e-06,1.98538060982931e-06,"Plk1/Cdc20/Ndc80/Cenpe/Espl1/Trip13/Ankle1/Aurka/Chtf18/Rad51/Pttg1/Birc5/Fbxo5/Rad54b/Eme1",15
"GO:0033044","GO:0033044","regulation of chromosome organization","18/320","208/18481",2.42463967676132e-08,2.63034297837042e-06,2.42710959833357e-06,"Plk1/Cdc20/Ccnb1/Tacc3/Ndc80/Ncaph/Aurkb/Cenpe/Nek2/Ncapd2/Trip13/Cdk1/Ube2c/Birc5/Recql4/Fbxo5/Ddx11/Pif1",18
"GO:0051383","GO:0051383","kinetochore organization","7/320","20/18481",2.79226431572628e-08,2.93449527930859e-06,2.70776157985562e-06,"Ndc80/Nuf2/Cenpe/Cenpt/Cenph/Cenpa/Cenpw",7
"GO:0000910","GO:0000910","cytokinesis","16/320","169/18481",4.19179590775298e-08,4.27182110235554e-06,3.94175895886947e-06,"Bcl2l1/Prc1/Plk1/Kif20a/Racgap1/Incenp/Kif4a/Cep55/Kif20b/Aurkb/Nusap1/Stmn1/Aurka/Cenpa/Birc5/E2f8",16
"GO:0044772","GO:0044772","mitotic cell cycle phase transition","26/320","436/18481",4.74450438871781e-08,4.69287301742882e-06,4.33027830895978e-06,"Ccna2/Plk1/Cdc20/Rrm2/Ccnb1/Gpnmb/Tacc3/Ndc80/Aurkb/Cenpe/Id4/Cdkn1c/Mastl/Trip13/Cdk1/Foxm1/Ube2c/Birc5/Ccl2/Fbxo5/Stil/Dtl/Psme3/Rad51b/Myb/Plk5",26
"GO:0000281","GO:0000281","mitotic cytokinesis","11/320","74/18481",5.59307434631237e-08,5.37414543618528e-06,4.95891223245981e-06,"Plk1/Kif20a/Racgap1/Incenp/Kif4a/Cep55/Kif20b/Nusap1/Stmn1/Cenpa/Birc5",11
"GO:0007091","GO:0007091","metaphase/anaphase transition of mitotic cell cycle","10/320","60/18481",7.375459383696e-08,6.88990830760268e-06,6.3575597260631e-06,"Plk1/Cdc20/Ccnb1/Tacc3/Ndc80/Cenpe/Trip13/Ube2c/Birc5/Fbxo5",10
"GO:0007127","GO:0007127","meiosis I","14/320","133/18481",7.87521154493027e-08,7.15792876367581e-06,6.60487158874948e-06,"Plk1/Ndc80/Cenpe/Espl1/Trip13/Ankle1/Aurka/Chtf18/Rad51/Pttg1/Birc5/Fbxo5/Rad54b/Eme1",14
"GO:0051656","GO:0051656","establishment of organelle localization","26/320","450/18481",8.88354931311856e-08,7.86194114210993e-06,7.25448846954945e-06,"Kifc1/Plk1/Racgap1/Ccnb1/Tacc3/Ndc80/Nuf2/Incenp/Kif22/Spag5/Aurkb/Cenpe/Kif2c/Nek2/Nusap1/Knstrn/Sapcd2/Spc25/Fam83d/Sgo1/Cenpa/Cdt1/Birc5/Spc24/Bicdl2/Slc2a4",26
"GO:0033047","GO:0033047","regulation of mitotic sister chromatid segregation","9/320","48/18481",1.15842853230836e-07,9.98921834398207e-06,9.21740165518229e-06,"Plk1/Ccnb1/Ndc80/Aurkb/Cenpe/Trip13/Cdk1/Birc5/Fbxo5",9
"GO:0044784","GO:0044784","metaphase/anaphase transition of cell cycle","10/320","63/18481",1.19415368153594e-07,1.00398470775134e-05,9.26411856096831e-06,"Plk1/Cdc20/Ccnb1/Tacc3/Ndc80/Cenpe/Trip13/Ube2c/Birc5/Fbxo5",10
"GO:0007292","GO:0007292","female gamete generation","16/320","185/18481",1.48252474618195e-07,1.21603188327071e-05,1.12207521225787e-05,"Plk1/Cdc20/Ccnb1/Fosl1/Ndc80/Ncaph/Cenpe/Foxo3/Mastl/Trip13/Aurka/Cdk1/Fbxo5/Inhbb/Hrob/Ybx2",16
"GO:0045132","GO:0045132","meiotic chromosome segregation","12/320","100/18481",1.5911833206958e-07,1.25700889488771e-05,1.15988613616569e-05,"Plk1/Ndc80/Nuf2/Ncaph/Cenpe/Espl1/Mastl/Trip13/Aurka/Sgo1/Pttg1/Fbxo5",12
"GO:0000212","GO:0000212","meiotic spindle organization","7/320","25/18481",1.60723706453082e-07,1.25700889488771e-05,1.15988613616569e-05,"Ndc80/Cenpe/Espl1/Mastl/Aurka/Cdk1/Fbxo5",7
"GO:0010965","GO:0010965","regulation of mitotic sister chromatid separation","9/320","50/18481",1.67876355736642e-07,1.28310950986892e-05,1.18397008782684e-05,"Plk1/Cdc20/Ccnb1/Ndc80/Cenpe/Trip13/Ube2c/Birc5/Fbxo5",9
"GO:0061640","GO:0061640","cytoskeleton-dependent cytokinesis","12/320","103/18481",2.21150357465059e-07,1.65273033812221e-05,1.52503217264794e-05,"Plk1/Kif20a/Racgap1/Incenp/Kif4a/Cep55/Kif20b/Aurkb/Nusap1/Stmn1/Cenpa/Birc5",12
"GO:0140694","GO:0140694","non-membrane-bounded organelle assembly","24/320","413/18481",2.54783450606732e-07,1.86268857476182e-05,1.71876799173603e-05,"Kifc1/Tpx2/Prc1/Plk1/Cdc20/Racgap1/Kif11/Ndc80/Incenp/Kif4a/Spag5/Aurkb/Cenpe/Mybl2/Nek2/Mastl/Cenpt/Aurka/Cenph/Cenpa/Fbxo5/Cenpw/Stil/Nebl",24
"GO:0007080","GO:0007080","mitotic metaphase chromosome alignment","9/320","53/18481",2.83708102268561e-07,1.9877298915191e-05,1.83414799449061e-05,"Kifc1/Ccnb1/Ndc80/Nuf2/Kif22/Aurkb/Cenpe/Kif2c/Cdt1",9
"GO:0051306","GO:0051306","mitotic sister chromatid separation","9/320","53/18481",2.83708102268561e-07,1.9877298915191e-05,1.83414799449061e-05,"Plk1/Cdc20/Ccnb1/Ndc80/Cenpe/Trip13/Ube2c/Birc5/Fbxo5",9
"GO:0071103","GO:0071103","DNA conformation change","11/320","87/18481",3.06825177943963e-07,2.10582259882765e-05,1.94311627192009e-05,"Mcm5/Hmgb2/Mcm7/Chtf18/Rad51/Hmgb2l1/Gins1/Recql4/Dscc1/Ddx11/Pif1",11
"GO:0051255","GO:0051255","spindle midzone assembly","5/320","10/18481",3.54056512591067e-07,2.38138410368752e-05,2.19738652445993e-05,"Prc1/Racgap1/Incenp/Kif4a/Aurkb",5
"GO:0030071","GO:0030071","regulation of mitotic metaphase/anaphase transition","9/320","55/18481",3.94879096670556e-07,2.59090491492173e-05,2.39071871580489e-05,"Plk1/Cdc20/Ccnb1/Ndc80/Cenpe/Trip13/Ube2c/Birc5/Fbxo5",9
"GO:0051315","GO:0051315","attachment of mitotic spindle microtubules to kinetochore","6/320","18/18481",4.00615687112489e-07,2.59090491492173e-05,2.39071871580489e-05,"Ndc80/Nuf2/Aurkb/Cenpe/Kif2c/Cdt1",6
"GO:1902099","GO:1902099","regulation of metaphase/anaphase transition of cell cycle","9/320","58/18481",6.31881399502939e-07,4.0094663142045e-05,3.69967500642436e-05,"Plk1/Cdc20/Ccnb1/Ndc80/Cenpe/Trip13/Ube2c/Birc5/Fbxo5",9
"GO:0051985","GO:0051985","negative regulation of chromosome segregation","8/320","44/18481",7.6280311219322e-07,4.75056827093667e-05,4.38351574024486e-05,"Plk1/Ccnb1/Ndc80/Cenpe/Trip13/Chtf18/Birc5/Fbxo5",8
"GO:0065004","GO:0065004","protein-DNA complex assembly","14/320","160/18481",7.78851039582106e-07,4.76232008384477e-05,4.3943595496422e-05,"Hmgb2/Cenpe/Cenpt/Cenpi/Cenph/Rad51/Asf1b/Cenpa/Cdt1/Chaf1b/Gmnn/Cenpw/Hjurp/Cenpp",14
"GO:1901990","GO:1901990","regulation of mitotic cell cycle phase transition","20/320","322/18481",9.33902709266281e-07,5.6084193058259e-05,5.17508493781391e-05,"Plk1/Cdc20/Rrm2/Ccnb1/Gpnmb/Ndc80/Aurkb/Cenpe/Cdkn1c/Trip13/Cdk1/Ube2c/Birc5/Ccl2/Fbxo5/Stil/Dtl/Psme3/Rad51b/Plk5",20
"GO:0007143","GO:0007143","female meiotic nuclear division","8/320","46/18481",1.08976191827809e-06,6.42959531784075e-05,5.93281280717234e-05,"Plk1/Ndc80/Ncaph/Cenpe/Mastl/Trip13/Aurka/Fbxo5",8
"GO:1901992","GO:1901992","positive regulation of mitotic cell cycle phase transition","11/320","100/18481",1.27073652116054e-06,7.36808089769464e-05,6.79878632374095e-05,"Cdc20/Rrm2/Ccnb1/Cenpe/Cdk1/Ube2c/Birc5/Fbxo5/Stil/Dtl/Rad51b",11
"GO:0045786","GO:0045786","negative regulation of cell cycle","22/320","391/18481",1.39380661502622e-06,7.94469770564946e-05,7.33085084941535e-05,"Kifc1/Plk1/Ccnb1/Gpnmb/Ndc80/Aurkb/Cenpe/Nek2/Cdkn1c/Trip13/Cdk1/Chtf18/Cdt1/Birc5/Ccl2/Recql4/Gmnn/Fbxo5/E2f8/Dtl/Eme1/Mapk12",22
"GO:1901987","GO:1901987","regulation of cell cycle phase transition","23/320","424/18481",1.49379815649471e-06,8.37273866715283e-05,7.72581923744981e-05,"Plk1/Cdc20/Rrm2/Ccnb1/Gpnmb/Ndc80/Aurkb/Cenpe/Cdkn1c/Trip13/Cdk1/Ube2c/Fam83d/Cdt1/Birc5/Ccl2/Fbxo5/Stil/Dtl/Eme1/Psme3/Rad51b/Plk5",23
"GO:1901989","GO:1901989","positive regulation of cell cycle phase transition","12/320","124/18481",1.66570482037969e-06,9.0798350214223e-05,8.37828181077451e-05,"Cdc20/Rrm2/Ccnb1/Cenpe/Cdk1/Ube2c/Fam83d/Birc5/Fbxo5/Stil/Dtl/Rad51b",12
"GO:0048599","GO:0048599","oocyte development","10/320","83/18481",1.67395114876058e-06,9.0798350214223e-05,8.37828181077451e-05,"Cdc20/Ccnb1/Foxo3/Mastl/Trip13/Aurka/Cdk1/Fbxo5/Inhbb/Ybx2",10
"GO:0010948","GO:0010948","negative regulation of cell cycle process","19/320","313/18481",2.45998752853761e-06,0.000131316477118603,0.000121170313018026,"Kifc1/Plk1/Ccnb1/Gpnmb/Ndc80/Aurkb/Cenpe/Nek2/Trip13/Cdk1/Chtf18/Cdt1/Birc5/Ccl2/Recql4/Fbxo5/E2f8/Dtl/Eme1",19
"GO:0009994","GO:0009994","oocyte differentiation","10/320","87/18481",2.59021737729843e-06,0.000135369540934339,0.000124910216966189,"Cdc20/Ccnb1/Foxo3/Mastl/Trip13/Aurka/Cdk1/Fbxo5/Inhbb/Ybx2",10
"GO:0007144","GO:0007144","female meiosis I","5/320","14/18481",2.65667252502716e-06,0.000135369540934339,0.000124910216966189,"Ndc80/Cenpe/Trip13/Aurka/Fbxo5",5
"GO:0090306","GO:0090306","meiotic spindle assembly","5/320","14/18481",2.65667252502716e-06,0.000135369540934339,0.000124910216966189,"Ndc80/Cenpe/Mastl/Aurka/Fbxo5",5
"GO:0044786","GO:0044786","cell cycle DNA replication","7/320","38/18481",3.47819752072989e-06,0.000174584750182308,0.000161095464118016,"Tk1/Rad51/Cdt1/Gins1/Gmnn/Fbxo5/E2f8",7
"GO:0001556","GO:0001556","oocyte maturation","8/320","54/18481",3.85310126796015e-06,0.000190558523002206,0.000175835023807222,"Cdc20/Ccnb1/Foxo3/Mastl/Trip13/Aurka/Cdk1/Fbxo5",8
"GO:0045931","GO:0045931","positive regulation of mitotic cell cycle","12/320","135/18481",4.08272390966364e-06,0.000196214826734959,0.000181054293382994,"Cdc20/Rrm2/Ccnb1/Cenpe/Aurka/Cdk1/Ube2c/Birc5/Fbxo5/Stil/Dtl/Rad51b",12
"GO:0032508","GO:0032508","DNA duplex unwinding","9/320","72/18481",4.08416231681449e-06,0.000196214826734959,0.000181054293382994,"Mcm5/Mcm7/Chtf18/Rad51/Gins1/Recql4/Dscc1/Ddx11/Pif1",9
"GO:0051984","GO:0051984","positive regulation of chromosome segregation","6/320","26/18481",4.42022950909481e-06,0.000209369462522336,0.000193192536587272,"Ccnb1/Ncaph/Aurkb/Cenpe/Ncapd2/Cdk1",6
"GO:0033046","GO:0033046","negative regulation of sister chromatid segregation","7/320","40/18481",4.98797997313945e-06,0.000223661021995573,0.000206379859099159,"Plk1/Ccnb1/Ndc80/Cenpe/Trip13/Birc5/Fbxo5",7
"GO:0033048","GO:0033048","negative regulation of mitotic sister chromatid segregation","7/320","40/18481",4.98797997313945e-06,0.000223661021995573,0.000206379859099159,"Plk1/Ccnb1/Ndc80/Cenpe/Trip13/Birc5/Fbxo5",7
"GO:0045841","GO:0045841","negative regulation of mitotic metaphase/anaphase transition","7/320","40/18481",4.98797997313945e-06,0.000223661021995573,0.000206379859099159,"Plk1/Ccnb1/Ndc80/Cenpe/Trip13/Birc5/Fbxo5",7
"GO:2000816","GO:2000816","negative regulation of mitotic sister chromatid separation","7/320","40/18481",4.98797997313945e-06,0.000223661021995573,0.000206379859099159,"Plk1/Ccnb1/Ndc80/Cenpe/Trip13/Birc5/Fbxo5",7
"GO:0007346","GO:0007346","regulation of mitotic cell cycle","24/320","490/18481",5.1572338569613e-06,0.000228207598170537,0.000210575144187284,"Plk1/Cdc20/Rrm2/Ccnb1/Gpnmb/Ndc80/Aurkb/Cenpe/Cdkn1c/Nusap1/Trip13/Aurka/Cdk1/Ube2c/Birc5/Ccl2/Gmnn/Fbxo5/Stil/Dtl/Eme1/Psme3/Rad51b/Plk5",24
"GO:0051382","GO:0051382","kinetochore assembly","5/320","16/18481",5.63341330528548e-06,0.000246041155138637,0.000227030791852107,"Cenpe/Cenpt/Cenph/Cenpa/Cenpw",5
"GO:1902100","GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","7/320","42/18481",7.00690522887673e-06,0.000298281294743196,0.000275234598464072,"Plk1/Ccnb1/Ndc80/Cenpe/Trip13/Birc5/Fbxo5",7
"GO:1905819","GO:1905819","negative regulation of chromosome separation","7/320","42/18481",7.00690522887673e-06,0.000298281294743196,0.000275234598464072,"Plk1/Ccnb1/Ndc80/Cenpe/Trip13/Birc5/Fbxo5",7
"GO:0032392","GO:0032392","DNA geometric change","9/320","77/18481",7.17639667108112e-06,0.000301677775060573,0.000278368649820357,"Mcm5/Mcm7/Chtf18/Rad51/Gins1/Recql4/Dscc1/Ddx11/Pif1",9
"GO:0032465","GO:0032465","regulation of cytokinesis","9/320","84/18481",1.47300601327666e-05,0.000611570274401163,0.000564317313468434,"Bcl2l1/Prc1/Plk1/Kif20a/Racgap1/Kif20b/Aurkb/Aurka/E2f8",9
"GO:2001251","GO:2001251","negative regulation of chromosome organization","9/320","85/18481",1.62270587839615e-05,0.000665507301103202,0.000614086897241573,"Plk1/Ccnb1/Ndc80/Cenpe/Trip13/Birc5/Recql4/Fbxo5/Pif1",9
"GO:0007088","GO:0007088","regulation of mitotic nuclear division","10/320","108/18481",1.82009774347358e-05,0.000737468519433933,0.000680488033958162,"Plk1/Cdc20/Ccnb1/Ndc80/Cenpe/Nusap1/Trip13/Ube2c/Birc5/Fbxo5",10
"GO:0006268","GO:0006268","DNA unwinding involved in DNA replication","5/320","20/18481",1.88882318242137e-05,0.000756203852676556,0.00069777578217772,"Mcm5/Mcm7/Rad51/Gins1/Recql4",5
"GO:0045839","GO:0045839","negative regulation of mitotic nuclear division","7/320","49/18481",2.01120136598588e-05,0.000795725905154178,0.000734244164325248,"Plk1/Ccnb1/Ndc80/Cenpe/Trip13/Birc5/Fbxo5",7
"GO:0044839","GO:0044839","cell cycle G2/M phase transition","12/320","158/18481",2.04040703491147e-05,0.000797894053303169,0.000736244790565361,"Ccna2/Plk1/Ccnb1/Ndc80/Aurkb/Mastl/Cdk1/Foxm1/Birc5/Fbxo5/Dtl/Rad51b",12
"GO:1904146","GO:1904146","positive regulation of meiotic cell cycle process involved in oocyte maturation","4/320","11/18481",2.64464292932203e-05,0.00102229128405862,0.000943303975274211,"Cdc20/Mastl/Aurka/Cdk1",4
