"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050000","GO:0050000","chromosome localization","16/234","111/18481",7.33073963488396e-13,1.81069268981634e-10,1.67449526396823e-10,"Kif22/Spag5/Aurkb/Cdca8/Kif2c/Fam83d/Sgo1/Knl1/Cdt1/Birc5/Spc24/Kif18a/Kif14/Cdca5/Cenpq/Psrc1",16
"GO:0007051","GO:0007051","spindle organization","19/234","195/18481",6.38802773702014e-12,1.44635594679031e-09,1.33756335160238e-09,"Tpx2/Prc1/Cdc20/Kif11/Kif23/Tacc3/Kif4a/Spag5/Aurkb/Mybl2/Espl1/Mastl/Aurka/Cenph/Stil/Cep72/Aunip/Psrc1/Plk5",19
"GO:0090068","GO:0090068","positive regulation of cell cycle process","22/234","279/18481",9.19443566953791e-12,1.92163705493342e-09,1.77709457029854e-09,"Cdc20/Rrm2/Kif23/Bub1/Spag5/Ncaph/Aurkb/Ncapd2/Mastl/Nusap1/Aurka/Fam83d/Ncapg/Birc5/E2f8/Kif14/Stil/Dtl/Cdca5/Sgo2/Ddx11/Rad51b",22
"GO:1902850","GO:1902850","microtubule cytoskeleton organization involved in mitosis","17/234","153/18481",1.03522033062136e-11,2.00906688449873e-09,1.85794806706254e-09,"Tpx2/Prc1/Cdc20/Kif11/Kif23/Tacc3/Kif4a/Aurkb/Mybl2/Nusap1/Aurka/Sapcd2/Cenph/Cenpa/Stil/Psrc1/Plk5",17
"GO:0006261","GO:0006261","DNA-templated DNA replication","16/234","149/18481",7.19156544747257e-11,1.30263222138553e-08,1.20465029635909e-08,"Mcm5/Tk1/Fam111a/Slfn13/Mcm7/Mms22l/Rad51/Cdt1/Mcm10/Gins1/Recql4/Gmnn/E2f8/Pole2/Ddx11/Polq",16
"GO:0051304","GO:0051304","chromosome separation","12/234","73/18481",1.19108878191192e-10,2.02261763778419e-08,1.87047955422616e-08,"Cdc20/Bub1/Ttk/Ncaph/Bub1b/Espl1/Ncapd2/Trip13/Ncapg/Knl1/Kntc1/Birc5",12
"GO:0045787","GO:0045787","positive regulation of cell cycle","23/234","351/18481",1.28945801182123e-10,2.06085730477546e-08,1.90584289425219e-08,"Cdc20/Rrm2/Kif23/Bub1/Fosl1/Spag5/Ncaph/Aurkb/Ncapd2/Mastl/Nusap1/Aurka/Fam83d/Ncapg/Birc5/E2f8/Kif14/Stil/Dtl/Cdca5/Sgo2/Ddx11/Rad51b",23
"GO:0007052","GO:0007052","mitotic spindle organization","14/234","120/18481",3.76520130688418e-10,5.68336219489129e-08,5.25586872487283e-08,"Tpx2/Prc1/Cdc20/Kif11/Kif23/Tacc3/Kif4a/Aurkb/Mybl2/Aurka/Cenph/Stil/Psrc1/Plk5",14
"GO:1905818","GO:1905818","regulation of chromosome separation","11/234","65/18481",5.20135151088541e-10,7.43793266056614e-08,6.87846318918752e-08,"Cdc20/Bub1/Ttk/Ncaph/Bub1b/Ncapd2/Trip13/Ncapg/Knl1/Kntc1/Birc5",11
"GO:0033044","GO:0033044","regulation of chromosome organization","17/234","208/18481",1.33082053898763e-09,1.8079197022147e-07,1.67193085608604e-07,"Cdc20/Bub1/Tacc3/Ttk/Ncaph/Aurkb/Bub1b/Ncapd2/Trip13/Ncapg/Knl1/Kntc1/Birc5/Recql4/Sgo2/Ddx11/Pif1",17
"GO:0006260","GO:0006260","DNA replication","19/234","267/18481",1.43805696088009e-09,1.86057179176725e-07,1.72062253915829e-07,"Mcm5/Tk1/Rrm2/Fam111a/Slfn13/Mcm7/Pclaf/Mms22l/Rad51/Cdt1/Mcm10/Gins1/Recql4/Gmnn/E2f8/Pole2/Ddx11/Polq/Pif1",19
"GO:0044772","GO:0044772","mitotic cell cycle phase transition","24/234","436/18481",1.70900226510969e-09,2.11061779741047e-07,1.95186048173054e-07,"Cdc20/Rrm2/Gpnmb/Bub1/Tacc3/Ttk/Aurkb/Bub1b/Slfn13/Iqgap3/Mastl/Trip13/Foxm1/Knl1/Kntc1/Birc5/Ccl2/Kif14/Stil/Dtl/Cdca5/Rad51b/Myb/Plk5",24
"GO:0051321","GO:0051321","meiotic cell cycle","19/234","274/18481",2.21200583925018e-09,2.61305211532293e-07,2.41650248891999e-07,"Cdc20/Ttk/Ncaph/Espl1/Ncapd2/Mastl/Trip13/Aurka/Chtf18/Fancd2/Sgo1/Rad51/Birc5/Kif18a/Mki67/Sgo2/Rad54b/Mns1/Fbxo43",19
"GO:0007346","GO:0007346","regulation of mitotic cell cycle","25/234","490/18481",3.60994481877331e-09,4.08675836358629e-07,3.77935889579469e-07,"Cdc20/Rrm2/Gpnmb/Bub1/Ttk/Aurkb/Bub1b/Slfn13/Nusap1/Trip13/Aurka/Fancd2/Knl1/Kntc1/Birc5/Ccl2/Gmnn/Kif14/Stil/Dtl/Cdca5/Mki67/Rad51b/Fbxo43/Plk5",25
"GO:1903046","GO:1903046","meiotic cell cycle process","17/234","237/18481",9.62548327348145e-09,1.02826005623981e-06,9.50915969333218e-07,"Cdc20/Ttk/Ncaph/Espl1/Ncapd2/Mastl/Trip13/Aurka/Chtf18/Fancd2/Sgo1/Rad51/Birc5/Kif18a/Sgo2/Rad54b/Fbxo43",17
"GO:0071459","GO:0071459","protein localization to chromosome, centromeric region","7/234","23/18481",9.83980915062023e-09,1.02826005623981e-06,9.50915969333218e-07,"Ttk/Aurkb/Bub1b/Knl1/Cenpa/Kntc1/Cenpq",7
"GO:0140013","GO:0140013","meiotic nuclear division","16/234","209/18481",1.05551825133951e-08,1.06216410699609e-06,9.82269811285542e-07,"Cdc20/Ttk/Ncaph/Espl1/Mastl/Trip13/Aurka/Chtf18/Fancd2/Sgo1/Rad51/Birc5/Kif18a/Sgo2/Rad54b/Fbxo43",16
"GO:0071103","GO:0071103","DNA conformation change","11/234","87/18481",1.27465057754843e-08,1.2368662925711e-06,1.14383117616846e-06,"Mcm5/Hmgb2/Mcm7/Chtf18/Rad51/Hmgb2l1/Gins1/Recql4/Ddx11/Polq/Pif1",11
"GO:0006302","GO:0006302","double-strand break repair","18/234","276/18481",1.5473729640218e-08,1.44972839422318e-06,1.34068212890019e-06,"Mcm5/Hmgb2/Mcm7/Hmga2/Trip13/Foxm1/Mms22l/Fancd2/Rad51/Recql4/Rad54l/Cdca5/Parpbp/Ddx11/Rad54b/Polq/Aunip/Rad51b",18
"GO:0007080","GO:0007080","mitotic metaphase chromosome alignment","9/234","53/18481",1.95813786007067e-08,1.773420188604e-06,1.64002634104866e-06,"Kif22/Aurkb/Cdca8/Kif2c/Cdt1/Kif18a/Kif14/Cdca5/Psrc1",9
"GO:0033045","GO:0033045","regulation of sister chromatid segregation","10/234","72/18481",2.35804799349625e-08,2.06671496720301e-06,1.91125995262328e-06,"Cdc20/Bub1/Tacc3/Ttk/Aurkb/Bub1b/Trip13/Knl1/Kntc1/Birc5",10
"GO:1901987","GO:1901987","regulation of cell cycle phase transition","22/234","424/18481",2.44859250951543e-08,2.07900807761044e-06,1.92262839480702e-06,"Cdc20/Rrm2/Gpnmb/Bub1/Ttk/Aurkb/Bub1b/Slfn13/Trip13/Fancd2/Fam83d/Knl1/Cdt1/Kntc1/Birc5/Ccl2/Kif14/Stil/Dtl/Cdca5/Rad51b/Plk5",22
"GO:1901990","GO:1901990","regulation of mitotic cell cycle phase transition","19/234","322/18481",3.06082124810122e-08,2.52007616093667e-06,2.33052003802795e-06,"Cdc20/Rrm2/Gpnmb/Bub1/Ttk/Aurkb/Bub1b/Slfn13/Trip13/Knl1/Kntc1/Birc5/Ccl2/Kif14/Stil/Dtl/Cdca5/Rad51b/Plk5",19
"GO:0007062","GO:0007062","sister chromatid cohesion","9/234","57/18481",3.80420012374706e-08,3.04000345182963e-06,2.81133922457716e-06,"Cdc20/Bub1/Kif22/Bub1b/Sgo1/Recql4/Cdca5/Sgo2/Ddx11",9
"GO:0007091","GO:0007091","metaphase/anaphase transition of mitotic cell cycle","9/234","60/18481",6.04845832986062e-08,4.69533179492323e-06,4.34215640101573e-06,"Cdc20/Bub1/Tacc3/Ttk/Bub1b/Trip13/Knl1/Kntc1/Birc5",9
"GO:0051985","GO:0051985","negative regulation of chromosome segregation","8/234","44/18481",7.01321182891349e-08,5.29302681643277e-06,4.89489375310424e-06,"Bub1/Ttk/Bub1b/Trip13/Chtf18/Knl1/Kntc1/Birc5",8
"GO:0044784","GO:0044784","metaphase/anaphase transition of cell cycle","9/234","63/18481",9.36964928265522e-08,6.88036137864169e-06,6.36283153277326e-06,"Cdc20/Bub1/Tacc3/Ttk/Bub1b/Trip13/Knl1/Kntc1/Birc5",9
"GO:0010948","GO:0010948","negative regulation of cell cycle process","18/234","313/18481",1.05404650353686e-07,7.53643250028852e-06,6.96955402754148e-06,"Gpnmb/Bub1/Ttk/Aurkb/Bub1b/Slfn13/Trip13/Chtf18/Fancd2/Knl1/Cdt1/Kntc1/Birc5/Ccl2/Recql4/E2f8/Dtl/Fbxo43",18
"GO:0006310","GO:0006310","DNA recombination","18/234","315/18481",1.15966012129097e-07,8.07896551166043e-06,7.47127856820931e-06,"Mcm5/Hmgb2/Mcm7/Trip13/Chtf18/Mms22l/Fancd2/Rad51/Hmgb2l1/Recql4/Rad54l/Exo1/Parpbp/Rad54b/Polq/Aunip/Pif1/Rad51b",18
"GO:0007088","GO:0007088","regulation of mitotic nuclear division","11/234","108/18481",1.24380474632384e-07,8.44854373940468e-06,7.81305770914475e-06,"Cdc20/Bub1/Ttk/Bub1b/Nusap1/Trip13/Knl1/Kntc1/Birc5/Mki67/Fbxo43",11
"GO:0045786","GO:0045786","negative regulation of cell cycle","20/234","391/18481",1.37398189323765e-07,9.10514342421144e-06,8.42026900939221e-06,"Gpnmb/Bub1/Ttk/Aurkb/Bub1b/Slfn13/Trip13/Chtf18/Fancd2/Knl1/Cdt1/Kntc1/Birc5/Ccl2/Recql4/Gmnn/E2f8/Dtl/Mapk12/Fbxo43",20
"GO:0033047","GO:0033047","regulation of mitotic sister chromatid segregation","8/234","48/18481",1.42951559802404e-07,9.24760447578886e-06,8.55201436712628e-06,"Bub1/Ttk/Aurkb/Bub1b/Trip13/Knl1/Kntc1/Birc5",8
"GO:0010965","GO:0010965","regulation of mitotic sister chromatid separation","8/234","50/18481",1.9900358493919e-07,1.25742497739484e-05,1.16284346939987e-05,"Cdc20/Bub1/Ttk/Bub1b/Trip13/Knl1/Kntc1/Birc5",8
"GO:0051656","GO:0051656","establishment of organelle localization","21/234","450/18481",3.05048016322727e-07,1.84301400311319e-05,1.7043854194569e-05,"Tacc3/Kif22/Spag5/Aurkb/Cdca8/Kif2c/Nusap1/Sapcd2/Fam83d/Sgo1/Knl1/Cenpa/Cdt1/Birc5/Spc24/Kif18a/Kif14/Cdca5/Cenpq/Bicdl2/Psrc1",21
"GO:0032508","GO:0032508","DNA duplex unwinding","9/234","72/18481",3.05247074494271e-07,1.84301400311319e-05,1.7043854194569e-05,"Mcm5/Mcm7/Chtf18/Rad51/Gins1/Recql4/Ddx11/Polq/Pif1",9
"GO:0051306","GO:0051306","mitotic sister chromatid separation","8/234","53/18481",3.17971971548347e-07,1.87810836238448e-05,1.73684003680985e-05,"Cdc20/Bub1/Ttk/Bub1b/Trip13/Knl1/Kntc1/Birc5",8
"GO:0030071","GO:0030071","regulation of mitotic metaphase/anaphase transition","8/234","55/18481",4.27398978462701e-07,2.3077954485682e-05,2.13420674340209e-05,"Cdc20/Bub1/Ttk/Bub1b/Trip13/Knl1/Kntc1/Birc5",8
"GO:0007094","GO:0007094","mitotic spindle assembly checkpoint signaling","7/234","38/18481",4.3092374167473e-07,2.3077954485682e-05,2.13420674340209e-05,"Bub1/Ttk/Bub1b/Trip13/Knl1/Kntc1/Birc5",7
"GO:0071173","GO:0071173","spindle assembly checkpoint signaling","7/234","38/18481",4.3092374167473e-07,2.3077954485682e-05,2.13420674340209e-05,"Bub1/Ttk/Bub1b/Trip13/Knl1/Kntc1/Birc5",7
"GO:0071174","GO:0071174","mitotic spindle checkpoint signaling","7/234","38/18481",4.3092374167473e-07,2.3077954485682e-05,2.13420674340209e-05,"Bub1/Ttk/Bub1b/Trip13/Knl1/Kntc1/Birc5",7
"GO:0051225","GO:0051225","spindle assembly","11/234","122/18481",4.33189429065065e-07,2.3077954485682e-05,2.13420674340209e-05,"Tpx2/Prc1/Cdc20/Kif11/Kif23/Kif4a/Spag5/Aurkb/Mybl2/Mastl/Aurka",11
"GO:0008608","GO:0008608","attachment of spindle microtubules to kinetochore","7/234","39/18481",5.19564454180845e-07,2.66350306039501e-05,2.46315859410065e-05,"Spag5/Aurkb/Kif2c/Sgo1/Knl1/Cdt1/Spc24",7
"GO:0031577","GO:0031577","spindle checkpoint signaling","7/234","39/18481",5.19564454180845e-07,2.66350306039501e-05,2.46315859410065e-05,"Bub1/Ttk/Bub1b/Trip13/Knl1/Kntc1/Birc5",7
"GO:0032392","GO:0032392","DNA geometric change","9/234","77/18481",5.47675884204844e-07,2.75562106923067e-05,2.54834763274262e-05,"Mcm5/Mcm7/Chtf18/Rad51/Gins1/Recql4/Ddx11/Polq/Pif1",9
"GO:0033046","GO:0033046","negative regulation of sister chromatid segregation","7/234","40/18481",6.23032218069027e-07,2.91858368360956e-05,2.69905245831355e-05,"Bub1/Ttk/Bub1b/Trip13/Knl1/Kntc1/Birc5",7
"GO:0033048","GO:0033048","negative regulation of mitotic sister chromatid segregation","7/234","40/18481",6.23032218069027e-07,2.91858368360956e-05,2.69905245831355e-05,"Bub1/Ttk/Bub1b/Trip13/Knl1/Kntc1/Birc5",7
"GO:0045841","GO:0045841","negative regulation of mitotic metaphase/anaphase transition","7/234","40/18481",6.23032218069027e-07,2.91858368360956e-05,2.69905245831355e-05,"Bub1/Ttk/Bub1b/Trip13/Knl1/Kntc1/Birc5",7
"GO:2000816","GO:2000816","negative regulation of mitotic sister chromatid separation","7/234","40/18481",6.23032218069027e-07,2.91858368360956e-05,2.69905245831355e-05,"Bub1/Ttk/Bub1b/Trip13/Knl1/Kntc1/Birc5",7
"GO:0051784","GO:0051784","negative regulation of nuclear division","8/234","58/18481",6.51233162838076e-07,2.94900083905175e-05,2.72718168367454e-05,"Bub1/Ttk/Bub1b/Trip13/Knl1/Kntc1/Birc5/Fbxo43",8
"GO:1902099","GO:1902099","regulation of metaphase/anaphase transition of cell cycle","8/234","58/18481",6.51233162838076e-07,2.94900083905175e-05,2.72718168367454e-05,"Cdc20/Bub1/Ttk/Bub1b/Trip13/Knl1/Kntc1/Birc5",8
"GO:0034508","GO:0034508","centromere complex assembly","6/234","26/18481",7.19756097264184e-07,3.20586445289637e-05,2.96472442479656e-05,"Cenpi/Cenph/Cenpa/Kntc1/Cenpw/Cenpo",6
"GO:0034501","GO:0034501","protein localization to kinetochore","5/234","15/18481",8.44352976443974e-07,3.64143974126711e-05,3.3675364323672e-05,"Ttk/Aurkb/Knl1/Kntc1/Cenpq",5
"GO:1903083","GO:1903083","protein localization to condensed chromosome","5/234","15/18481",8.44352976443974e-07,3.64143974126711e-05,3.3675364323672e-05,"Ttk/Aurkb/Knl1/Kntc1/Cenpq",5
"GO:1902100","GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","7/234","42/18481",8.8236580643181e-07,3.68828907088496e-05,3.41086182988296e-05,"Bub1/Ttk/Bub1b/Trip13/Knl1/Kntc1/Birc5",7
"GO:1905819","GO:1905819","negative regulation of chromosome separation","7/234","42/18481",8.8236580643181e-07,3.68828907088496e-05,3.41086182988296e-05,"Bub1/Ttk/Bub1b/Trip13/Knl1/Kntc1/Birc5",7
"GO:0065004","GO:0065004","protein-DNA complex assembly","12/234","160/18481",9.47113371329093e-07,3.89895004530477e-05,3.60567722067392e-05,"Hmgb2/Cenpi/Cenph/Rad51/Asf1b/Cenpa/Cdt1/Kntc1/Chaf1b/Gmnn/Cenpw/Cenpo",12
"GO:2001251","GO:2001251","negative regulation of chromosome organization","9/234","85/18481",1.28038122843114e-06,5.19223253380209e-05,4.8016810561903e-05,"Bub1/Ttk/Bub1b/Trip13/Knl1/Kntc1/Birc5/Recql4/Pif1",9
"GO:0007076","GO:0007076","mitotic chromosome condensation","5/234","17/18481",1.704218361136e-06,6.8093548341272e-05,6.29716598766505e-05,"Ncaph/Ncapd2/Nusap1/Ncapg/Cdca5",5
"GO:0051783","GO:0051783","regulation of nuclear division","11/234","141/18481",1.8390323848667e-06,7.24152317345338e-05,6.69682731148257e-05,"Cdc20/Bub1/Ttk/Bub1b/Nusap1/Trip13/Knl1/Kntc1/Birc5/Mki67/Fbxo43",11
"GO:0090307","GO:0090307","mitotic spindle assembly","8/234","67/18481",2.00932539768467e-06,7.79905300787036e-05,7.21242063800498e-05,"Tpx2/Prc1/Cdc20/Kif11/Kif23/Kif4a/Aurkb/Mybl2",8
"GO:0045839","GO:0045839","negative regulation of mitotic nuclear division","7/234","49/18481",2.60574658794917e-06,9.9715682809266e-05,9.22152276565554e-05,"Bub1/Ttk/Bub1b/Trip13/Knl1/Kntc1/Birc5",7
"GO:1901991","GO:1901991","negative regulation of mitotic cell cycle phase transition","12/234","181/18481",3.46366951405452e-06,0.00013070541763453,0.000120873963889593,"Gpnmb/Bub1/Ttk/Aurkb/Bub1b/Slfn13/Trip13/Knl1/Kntc1/Birc5/Ccl2/Dtl",12
"GO:0006268","GO:0006268","DNA unwinding involved in DNA replication","5/234","20/18481",4.13939497629941e-06,0.000154064878775418,0.000142476363495698,"Mcm5/Mcm7/Rad51/Gins1/Recql4",5
"GO:0051255","GO:0051255","spindle midzone assembly","4/234","10/18481",4.95536478029162e-06,0.00018194224470341,0.000168256838272491,"Prc1/Kif23/Kif4a/Aurkb",4
"GO:1901988","GO:1901988","negative regulation of cell cycle phase transition","14/234","262/18481",6.66352476925709e-06,0.000241397290640953,0.000223239770164444,"Gpnmb/Bub1/Ttk/Aurkb/Bub1b/Slfn13/Trip13/Fancd2/Knl1/Cdt1/Kntc1/Birc5/Ccl2/Dtl",14
"GO:0000724","GO:0000724","double-strand break repair via homologous recombination","11/234","162/18481",7.07828112538356e-06,0.000253048550232462,0.00023401464053034,"Mcm5/Mcm7/Mms22l/Rad51/Recql4/Rad54l/Parpbp/Rad54b/Polq/Aunip/Rad51b",11
"GO:0044786","GO:0044786","cell cycle DNA replication","6/234","38/18481",7.60110207829853e-06,0.000268210316191391,0.000248035962555005,"Tk1/Rad51/Cdt1/Gins1/Gmnn/E2f8",6
"GO:0070601","GO:0070601","centromeric sister chromatid cohesion","4/234","11/18481",7.70963151363045e-06,0.000268552164391461,0.000248352097476868,"Bub1/Bub1b/Sgo1/Sgo2",4
"GO:0000725","GO:0000725","recombinational repair","11/234","164/18481",7.95820878929713e-06,0.00027370194025975,0.000253114515390436,"Mcm5/Mcm7/Mms22l/Rad51/Recql4/Rad54l/Parpbp/Rad54b/Polq/Aunip/Rad51b",11
"GO:0007093","GO:0007093","mitotic cell cycle checkpoint signaling","10/234","134/18481",8.09124637982327e-06,0.000274798955174748,0.000254129014587344,"Bub1/Ttk/Aurkb/Bub1b/Trip13/Fancd2/Knl1/Kntc1/Birc5/Dtl",10
"GO:0000910","GO:0000910","cytokinesis","11/234","169/18481",1.05868847174822e-05,0.000355118096017273,0.000328406677331124,"Prc1/Kif23/Kif4a/Aurkb/Iqgap3/Nusap1/Aurka/Cenpa/Birc5/E2f8/Kif14",11
"GO:0045930","GO:0045930","negative regulation of mitotic cell cycle","13/234","238/18481",1.12977023078011e-05,0.000374339721588971,0.000346182482782045,"Gpnmb/Bub1/Ttk/Aurkb/Bub1b/Slfn13/Trip13/Fancd2/Knl1/Kntc1/Birc5/Ccl2/Dtl",13
"GO:0030261","GO:0030261","chromosome condensation","6/234","44/18481",1.82420165364833e-05,0.000597151312405121,0.00055223453991865,"Ncaph/Ncapd2/Mastl/Nusap1/Ncapg/Cdca5",6
"GO:0000075","GO:0000075","cell cycle checkpoint signaling","11/234","182/18481",2.12276127597732e-05,0.000686612188908377,0.000634966311498478,"Bub1/Ttk/Aurkb/Bub1b/Trip13/Fancd2/Knl1/Cdt1/Kntc1/Birc5/Dtl",11
"GO:0140694","GO:0140694","non-membrane-bounded organelle assembly","17/234","413/18481",2.18125251852254e-05,0.000697230952097146,0.000644786348199789,"Tpx2/Prc1/Cdc20/Kif11/Kif23/Kif4a/Spag5/Aurkb/Mybl2/Mastl/Aurka/Cenph/Cenpa/Kntc1/Cenpw/Stil/Cep72",17
"GO:0007143","GO:0007143","female meiotic nuclear division","6/234","46/18481",2.36999716773711e-05,0.000748753756365316,0.000692433689031637,"Ttk/Ncaph/Mastl/Trip13/Aurka/Sgo2",6
"GO:0045132","GO:0045132","meiotic chromosome segregation","8/234","100/18481",4.00712698281219e-05,0.00124893477931743,0.00115499189052582,"Ttk/Ncaph/Espl1/Mastl/Trip13/Aurka/Fancd2/Sgo1",8
"GO:0051382","GO:0051382","kinetochore assembly","4/234","16/18481",4.04513288847752e-05,0.00124893477931743,0.00115499189052582,"Cenph/Cenpa/Kntc1/Cenpw",4
"GO:0006270","GO:0006270","DNA replication initiation","5/234","32/18481",4.74986337914791e-05,0.00145004256192639,0.00134097266540817,"Mcm5/Mcm7/Cdt1/Mcm10/Gmnn",5
"GO:0033260","GO:0033260","nuclear DNA replication","5/234","33/18481",5.54064003024205e-05,0.00167265766246307,0.00154684301195179,"Tk1/Rad51/Cdt1/Gins1/Gmnn",5
"GO:0007063","GO:0007063","regulation of sister chromatid cohesion","4/234","18/18481",6.66701246022692e-05,0.00199057943455347,0.00184085121371448,"Bub1/Recql4/Sgo2/Ddx11",4
"GO:0061982","GO:0061982","meiosis I cell cycle process","9/234","139/18481",7.0586940360505e-05,0.00208461648869013,0.00192781495012043,"Cdc20/Espl1/Trip13/Aurka/Chtf18/Fancd2/Rad51/Birc5/Rad54b",9
"GO:0034502","GO:0034502","protein localization to chromosome","8/234","109/18481",7.42129030993051e-05,0.00216813395398723,0.00200505036443737,"Ttk/Aurkb/Bub1b/Mms22l/Knl1/Cenpa/Kntc1/Cenpq",8
"GO:0072698","GO:0072698","protein localization to microtubule cytoskeleton","6/234","58/18481",9.02399239468908e-05,0.00260831780174151,0.0024121242828805,"Ttk/Spag5/Aurka/Fam83d/Stil/Cep72",6
"GO:0051383","GO:0051383","kinetochore organization","4/234","20/18481",0.000103480572094516,0.00295954436190316,0.00273693213949706,"Cenph/Cenpa/Kntc1/Cenpw",4
"GO:0007292","GO:0007292","female gamete generation","10/234","185/18481",0.000127986114943578,0.00362227369064272,0.00334981202160439,"Cdc20/Fosl1/Ttk/Ncaph/Mastl/Trip13/Aurka/Sgo2/Ybx2/Inhbb",10
"GO:0044380","GO:0044380","protein localization to cytoskeleton","6/234","62/18481",0.000131406561417054,0.00368073842649625,0.00340387913296265,"Ttk/Spag5/Aurka/Fam83d/Stil/Cep72",6
